latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-10.09225,124.13846000000001,348.2,0.35,0.56,2019-11-17,548,N,nominal,1.0NRT,307.9,5.4,D
-10.1281,123.91559,367.0,0.33,0.56,2019-11-17,548,N,high,1.0NRT,305.6,2.9,D
-10.1275,123.91885,335.2,0.33,0.56,2019-11-17,548,N,nominal,1.0NRT,304.5,2.9,D
-10.07773,123.95055,337.8,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,306.2,1.6,D
-10.08896,123.8882,342.3,0.33,0.56,2019-11-17,548,N,nominal,1.0NRT,309.3,2.0,D
-10.06632,123.89623999999999,367.0,0.33,0.56,2019-11-17,548,N,high,1.0NRT,308.7,5.4,D
-10.03882,124.01827,367.0,0.34,0.56,2019-11-17,548,N,high,1.0NRT,310.7,11.5,D
-10.065380000000001,123.84323,336.2,0.33,0.55,2019-11-17,548,N,nominal,1.0NRT,306.1,2.3,D
-9.9224,124.56306000000001,333.2,0.37,0.58,2019-11-17,548,N,low,1.0NRT,306.1,3.5,D
-9.92295,124.5601,332.0,0.37,0.58,2019-11-17,548,N,low,1.0NRT,306.2,2.8,D
-9.9695,124.21978999999999,337.2,0.35,0.57,2019-11-17,548,N,low,1.0NRT,309.0,1.9,D
-9.99447,124.05566999999999,351.7,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,307.0,3.9,D
-9.896889999999999,124.55096999999999,335.5,0.37,0.58,2019-11-17,548,N,low,1.0NRT,309.3,2.7,D
-9.95508,124.23898,339.3,0.35,0.57,2019-11-17,548,N,nominal,1.0NRT,309.0,6.2,D
-9.94984,124.23793,367.0,0.35,0.57,2019-11-17,548,N,high,1.0NRT,309.4,6.2,D
-9.96752,124.11396,335.9,0.35,0.56,2019-11-17,548,N,low,1.0NRT,307.1,2.6,D
-9.95145,124.23727,367.0,0.35,0.57,2019-11-17,548,N,high,1.0NRT,311.4,12.7,D
-9.96303,124.11204,338.5,0.35,0.56,2019-11-17,548,N,nominal,1.0NRT,305.8,2.3,D
-9.98654,123.92085,338.2,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,308.1,2.0,D
-9.90814,124.23653,334.1,0.35,0.57,2019-11-17,548,N,low,1.0NRT,308.8,3.3,D
-9.96856,123.90268,350.0,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,307.2,3.9,D
-9.90286,124.23568,346.8,0.35,0.57,2019-11-17,548,N,nominal,1.0NRT,311.0,3.7,D
-9.9623,123.79133,367.0,0.33,0.55,2019-11-17,548,N,high,1.0NRT,305.2,11.0,D
-9.961789999999999,123.79416,351.2,0.33,0.55,2019-11-17,548,N,nominal,1.0NRT,302.3,10.6,D
-9.9225,123.86446000000001,338.3,0.33,0.56,2019-11-17,548,N,nominal,1.0NRT,307.4,1.6,D
-9.75405,124.71163,336.2,0.38,0.59,2019-11-17,548,N,nominal,1.0NRT,306.2,2.3,D
-9.7562,124.64053999999999,367.0,0.38,0.59,2019-11-17,548,N,high,1.0NRT,305.0,21.1,D
-9.75694,124.63661,338.0,0.38,0.59,2019-11-17,548,N,nominal,1.0NRT,302.7,9.0,D
-9.807889999999999,124.36538,349.2,0.36,0.58,2019-11-17,548,N,nominal,1.0NRT,307.4,6.2,D
-9.80851,124.36208,335.1,0.36,0.58,2019-11-17,548,N,low,1.0NRT,307.4,4.2,D
-9.753680000000001,124.71003999999999,340.9,0.38,0.59,2019-11-17,548,N,nominal,1.0NRT,306.9,2.3,D
-9.75535,124.63859,367.0,0.38,0.59,2019-11-17,548,N,high,1.0NRT,304.9,22.4,D
-9.805,124.36313999999999,367.0,0.36,0.58,2019-11-17,548,N,high,1.0NRT,307.3,6.4,D
-9.69115,124.74417,337.1,0.39,0.59,2019-11-17,548,N,nominal,1.0NRT,303.6,3.1,D
